rid,ttr
273,0.02661299705505371
274,0.029241561889648438
275,0.016597270965576172
276,0.016066789627075195
277,0.017833471298217773
278,0.025923490524291992
279,0.04376339912414551
280,0.012929916381835938
281,0.018573522567749023
282,0.02785515785217285
283,0.024269580841064453
284,0.038881540298461914
285,0.04381585121154785
286,0.014141321182250977
287,0.016735315322875977
288,0.01803731918334961
289,0.01999187469482422
290,0.017679691314697266
291,0.01722884178161621
292,0.014412879943847656
293,0.02040266990661621
294,0.014946699142456055
295,0.017836809158325195
296,0.025099992752075195
297,0.024045944213867188
298,0.021197080612182617
299,0.018361330032348633
300,0.013739347457885742
301,0.01819586753845215
302,0.02930736541748047
303,0.012264490127563477
304,0.014076709747314453
305,0.0150909423828125
306,0.021851062774658203
307,0.015514612197875977
308,0.019548416137695312
309,0.0291445255279541
310,0.011474132537841797
311,0.017520666122436523
312,0.019078493118286133
313,0.04115462303161621
314,0.01923537254333496
315,0.01137089729309082
316,0.0168001651763916
317,0.03483152389526367
318,0.015497684478759766
319,0.017077922821044922
320,0.016083955764770508
321,0.046469926834106445
322,0.01656055450439453
323,0.01842021942138672
324,0.02454209327697754
325,0.04050922393798828
326,0.011318445205688477
327,0.023247480392456055
328,0.011888265609741211
329,0.018734455108642578
330,0.01900649070739746
331,0.021246671676635742
332,0.017963647842407227
333,0.026103973388671875
334,0.01847362518310547
335,0.022008657455444336
336,0.03475618362426758
337,0.03250908851623535
338,0.015242338180541992
339,0.017916440963745117
340,0.01786017417907715
341,0.015014410018920898
342,0.013278961181640625
343,0.018415451049804688
344,0.011879205703735352
345,0.015233516693115234
346,0.03584766387939453
347,0.014156818389892578
348,0.014467716217041016
349,0.01825547218322754
350,0.016133546829223633
351,0.010595321655273438
352,0.02055978775024414
353,0.020218610763549805
354,0.022284746170043945
355,0.020602941513061523
356,0.025346040725708008
357,0.030492305755615234
358,0.023520469665527344
359,0.03272509574890137
360,0.01956033706665039
361,0.016806602478027344
362,0.0314633846282959
363,0.025511503219604492
364,0.02778482437133789
365,0.027919769287109375
366,0.02283477783203125
367,0.03653430938720703
368,0.013624191284179688
369,0.01183629035949707
370,0.01699662208557129
371,0.02904033660888672
372,0.02505040168762207
373,0.01311945915222168
374,0.012949943542480469
375,0.014284610748291016
376,0.027422428131103516
377,0.015617847442626953
378,0.01471400260925293
379,0.019644737243652344
380,0.02601480484008789
381,0.04885292053222656
382,0.05499577522277832
383,0.055344343185424805
384,0.04555988311767578
385,0.04246330261230469
386,0.05331778526306152
387,0.020889759063720703
388,0.019643306732177734
389,0.0182039737701416
390,0.02751016616821289
391,0.0311586856842041
392,0.022693157196044922
393,0.03326702117919922
394,0.029465913772583008
395,0.013129234313964844
396,0.02054738998413086
397,0.021309375762939453
398,0.012386798858642578
399,0.016319990158081055
400,0.030430078506469727
401,0.0434117317199707
402,0.026484966278076172
403,0.014923095703125
404,0.012502431869506836
405,0.015955448150634766
406,0.018297672271728516
407,0.016030311584472656
408,0.010258913040161133
409,0.01708388328552246
410,0.012933969497680664
411,0.011780500411987305
412,0.014877557754516602
413,0.02954554557800293
414,0.026435375213623047
415,0.038995981216430664
416,0.047812700271606445
417,0.01644611358642578
418,0.015961408615112305
419,0.01412057876586914
420,0.02328801155090332
421,0.024917125701904297
422,0.022900819778442383
423,0.026177644729614258
424,0.04073452949523926
425,0.013324737548828125
426,0.02057957649230957
427,0.022881269454956055
428,0.018231868743896484
429,0.012146234512329102
430,0.017841577529907227
431,0.02164769172668457
432,0.019732236862182617
433,0.034750938415527344
434,0.041600942611694336
435,0.05127859115600586
436,0.016274452209472656
437,0.01960587501525879
438,0.014292240142822266
439,0.027604103088378906
440,0.02482318878173828
441,0.032572269439697266
442,0.014846086502075195
443,0.011150360107421875
444,0.015280485153198242
445,0.019329071044921875
446,0.024588346481323242
447,0.01703333854675293
448,0.012766599655151367
449,0.015008687973022461
450,0.029117345809936523
451,0.016567468643188477
452,0.017138957977294922
453,0.025650501251220703
454,0.037000179290771484
